term,normalized_term,semantic_hint,category,source_name,source_url,source_family,source_authority_level,source_attested,derived_variant,parent_term,collision_risk,notes,source_id,acronym,acronym_expansion,source_tier,license_status,retrieval_date,census_attested,legal_overlap,higher_ed_overlap,finance_accounting_tax_overlap,known_overlap_families
bargaining impasse,bargaining impasse,LABOR_RELATIONS_CONCEPT,federal_labor_relations,Federal Labor Relations Authority — Federal Service Labor-Management Relations Statute,https://www.flra.gov/resources-training/resources/statute-and-regulations/statute/statute-subchapter-i-general-2,FLRA,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government/statutory source; short terminology/provenance only,2026-08-10,False,False,False,False,
bargaining impasse,bargaining impasse,LABOR_RELATIONS_CONCEPT,labor_relations,National Labor Relations Board — Employee / Employer / Union Rights,https://www.nlrb.gov/about-nlrb/rights-we-protect/your-rights/employer-union-rights-and-obligations,NLRB,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
bargaining representative,bargaining representative,LABOR_RELATIONS_CONCEPT,labor_relations,National Labor Relations Board — Employee / Employer / Union Rights,https://www.nlrb.gov/about-nlrb/rights-we-protect/your-rights/employer-union-rights-and-obligations,NLRB,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
bargaining unit,bargaining unit,LABOR_RELATIONS_CONCEPT,federal_labor_relations,Federal Labor Relations Authority — Federal Service Labor-Management Relations Statute,https://www.flra.gov/resources-training/resources/statute-and-regulations/statute/statute-subchapter-i-general-2,FLRA,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government/statutory source; short terminology/provenance only,2026-08-10,False,False,False,False,
bargaining unit,bargaining unit,LABOR_RELATIONS_CONCEPT,labor_relations,National Labor Relations Board — Employee / Employer / Union Rights,https://www.nlrb.gov/about-nlrb/rights-we-protect/your-rights/employer-union-rights-and-obligations,NLRB,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
basic pay,basic pay,BENEFIT_OR_COMPENSATION,leave_compensation,OPM Pay & Leave / Leave Administration,https://www.opm.gov/policy-data-oversight/pay-leave/leave-administration/,OPM_PAY_LEAVE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
beneficiary,beneficiary,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,True,False,True,legal|finance_accounting_tax
blue collar position,blue collar position,HR_ADMIN_CONCEPT,classification,OPM Classification & Qualifications / Classifying General Schedule Positions,https://www.opm.gov/policy-data-oversight/classification-qualifications/classifying-general-schedule-positions/,OPM_CLASSIFICATION,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
break in service,break in service,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
career appointment,career appointment,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
career-conditional appointment,career-conditional appointment,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
change in duty station,change in duty station,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
change in hours,change in hours,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
change in work schedule,change in work schedule,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
change to lower grade,change to lower grade,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
classification appeal,classification appeal,HR_ADMIN_CONCEPT,classification,OPM Classification & Qualifications / Classifying General Schedule Positions,https://www.opm.gov/policy-data-oversight/classification-qualifications/classifying-general-schedule-positions/,OPM_CLASSIFICATION,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
classification standard,classification standard,HR_ADMIN_CONCEPT,classification,OPM Classification & Qualifications / Classifying General Schedule Positions,https://www.opm.gov/policy-data-oversight/classification-qualifications/classifying-general-schedule-positions/,OPM_CLASSIFICATION,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
classifier,classifier,HR_ADMIN_CONCEPT,classification,OPM Classification & Qualifications / Classifying General Schedule Positions,https://www.opm.gov/policy-data-oversight/classification-qualifications/classifying-general-schedule-positions/,OPM_CLASSIFICATION,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
COBRA continuation coverage,cobra continuation coverage,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
collective bargaining,collective bargaining,LABOR_RELATIONS_CONCEPT,federal_labor_relations,Federal Labor Relations Authority — Federal Service Labor-Management Relations Statute,https://www.flra.gov/resources-training/resources/statute-and-regulations/statute/statute-subchapter-i-general-2,FLRA,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government/statutory source; short terminology/provenance only,2026-08-10,False,False,False,False,
collective bargaining,collective bargaining,LABOR_RELATIONS_CONCEPT,labor_relations,National Labor Relations Board — Employee / Employer / Union Rights,https://www.nlrb.gov/about-nlrb/rights-we-protect/your-rights/employer-union-rights-and-obligations,NLRB,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
collective bargaining agreement,collective bargaining agreement,LABOR_RELATIONS_CONCEPT,federal_labor_relations,Federal Labor Relations Authority — Federal Service Labor-Management Relations Statute,https://www.flra.gov/resources-training/resources/statute-and-regulations/statute/statute-subchapter-i-general-2,FLRA,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government/statutory source; short terminology/provenance only,2026-08-10,False,False,False,False,
collective bargaining agreement,collective bargaining agreement,LABOR_RELATIONS_CONCEPT,labor_relations,National Labor Relations Board — Employee / Employer / Union Rights,https://www.nlrb.gov/about-nlrb/rights-we-protect/your-rights/employer-union-rights-and-obligations,NLRB,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
compensatory time off,compensatory time off,BENEFIT_OR_COMPENSATION,leave_compensation,OPM Pay & Leave / Leave Administration,https://www.opm.gov/policy-data-oversight/pay-leave/leave-administration/,OPM_PAY_LEAVE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
competitive appointment,competitive appointment,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
concerted activity,concerted activity,LABOR_RELATIONS_CONCEPT,labor_relations,National Labor Relations Board — Employee / Employer / Union Rights,https://www.nlrb.gov/about-nlrb/rights-we-protect/your-rights/employer-union-rights-and-obligations,NLRB,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
conditions of employment,conditions of employment,LABOR_RELATIONS_CONCEPT,federal_labor_relations,Federal Labor Relations Authority — Federal Service Labor-Management Relations Statute,https://www.flra.gov/resources-training/resources/statute-and-regulations/statute/statute-subchapter-i-general-2,FLRA,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government/statutory source; short terminology/provenance only,2026-08-10,False,False,False,False,
continuation of group health benefits,continuation of group health benefits,LEAVE_CONCEPT,leave,"U.S. Department of Labor, Wage and Hour Division — FMLA",https://www.dol.gov/agencies/whd/fmla,DOL_FMLA,US_FEDERAL_LABOR_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
conversion,conversion,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,MEDIUM,Single-token term; context remains important.,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
corrective action,corrective action,EMPLOYEE_RELATIONS_CONCEPT,employee_relations,U.S. Merit Systems Protection Board — Merit System Principles / Prohibited Personnel Practices,https://www.mspb.gov/ppp/ppp.htm,MSPB,US_FEDERAL_MERIT_SYSTEM_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
covered employer,covered employer,LEAVE_CONCEPT,leave,"U.S. Department of Labor, Wage and Hour Division — FMLA",https://www.dol.gov/agencies/whd/fmla,DOL_FMLA,US_FEDERAL_LABOR_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
credit hours,credit hours,BENEFIT_OR_COMPENSATION,leave_compensation,OPM Pay & Leave / Leave Administration,https://www.opm.gov/policy-data-oversight/pay-leave/leave-administration/,OPM_PAY_LEAVE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,True,False,higher_ed
critical element,critical element,PERFORMANCE_CONCEPT,performance_management,OPM Performance Management,https://www.opm.gov/policy-data-oversight/performance-management/,OPM_PERFORMANCE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
current employee,current employee,EEO_CONCEPT,equal_employment_opportunity,U.S. Equal Employment Opportunity Commission — Employment Guidance,https://www.eeoc.gov/disability-discrimination-and-employment-decisions,EEOC,US_FEDERAL_EEO_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
days away case,days away case,SAFETY_CONCEPT,workplace_safety,Occupational Safety and Health Administration — Injury and Illness Recordkeeping,https://www.osha.gov/laws-regs/regulations/standardnumber/1904/1904.7,OSHA,US_FEDERAL_WORKPLACE_SAFETY_AUTHORITY,True,False,,LOW,,,,,A,US federal government/regulatory source; short terminology/provenance only,2026-08-10,False,False,False,False,
days away from work,days away from work,SAFETY_CONCEPT,workplace_safety,Occupational Safety and Health Administration — Injury and Illness Recordkeeping,https://www.osha.gov/laws-regs/regulations/standardnumber/1904/1904.7,OSHA,US_FEDERAL_WORKPLACE_SAFETY_AUTHORITY,True,False,,LOW,,,,,A,US federal government/regulatory source; short terminology/provenance only,2026-08-10,False,False,False,False,
defined contribution plan,defined contribution plan,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
demotion,demotion,EMPLOYEE_RELATIONS_CONCEPT,employee_relations,U.S. Merit Systems Protection Board — Merit System Principles / Prohibited Personnel Practices,https://www.mspb.gov/ppp/ppp.htm,MSPB,US_FEDERAL_MERIT_SYSTEM_AUTHORITY,True,False,,MEDIUM,Single-token term; context remains important.,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
demotion,demotion,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,MEDIUM,Single-token term; context remains important.,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
designation notice,designation notice,LEAVE_CONCEPT,leave,"U.S. Department of Labor, Wage and Hour Division — FMLA",https://www.dol.gov/agencies/whd/fmla,DOL_FMLA,US_FEDERAL_LABOR_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
detail,detail,PROCESS_EVENT,personnel_action,OPM Guide to Processing Personnel Actions — Glossary of Terms Used in Processing Personnel Actions,https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/processing-personnel-actions/gppa35.pdf,OPM_GPPA,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government work; terms only retained; no definitions redistributed,2026-08-10,False,False,False,False,
developing,developing,PERFORMANCE_CONCEPT,performance_management,OPM Performance Management,https://www.opm.gov/policy-data-oversight/performance-management/,OPM_PERFORMANCE,US_FEDERAL_PERSONNEL_AUTHORITY,True,False,,HIGH,Single-token ordinary-English/title/name collision risk; retain as evidence only.,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
disability discrimination,disability discrimination,EEO_CONCEPT,equal_employment_opportunity,U.S. Equal Employment Opportunity Commission — Employment Guidance,https://www.eeoc.gov/disability-discrimination-and-employment-decisions,EEOC,US_FEDERAL_EEO_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
disciplinary action,disciplinary action,EMPLOYEE_RELATIONS_CONCEPT,employee_relations,U.S. Merit Systems Protection Board — Merit System Principles / Prohibited Personnel Practices,https://www.mspb.gov/ppp/ppp.htm,MSPB,US_FEDERAL_MERIT_SYSTEM_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
economic striker,economic striker,LABOR_RELATIONS_CONCEPT,labor_relations,National Labor Relations Board — Employee / Employer / Union Rights,https://www.nlrb.gov/about-nlrb/rights-we-protect/your-rights/employer-union-rights-and-obligations,NLRB,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
EEO,eeo,EEO_CONCEPT,equal_employment_opportunity,U.S. Equal Employment Opportunity Commission — Employment Guidance,https://www.eeoc.gov/disability-discrimination-and-employment-decisions,EEOC,US_FEDERAL_EEO_AUTHORITY,True,False,,HIGH,Acronym/initialism; may have unrelated expansions in other domains.,,EEO,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
election petition,election petition,LABOR_RELATIONS_CONCEPT,labor_relations,National Labor Relations Board — Employee / Employer / Union Rights,https://www.nlrb.gov/about-nlrb/rights-we-protect/your-rights/employer-union-rights-and-obligations,NLRB,US_FEDERAL_LABOR_RELATIONS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
eligibility notice,eligibility notice,LEAVE_CONCEPT,leave,"U.S. Department of Labor, Wage and Hour Division — FMLA",https://www.dol.gov/agencies/whd/fmla,DOL_FMLA,US_FEDERAL_LABOR_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
eligible employee,eligible employee,LEAVE_CONCEPT,leave,"U.S. Department of Labor, Wage and Hour Division — FMLA",https://www.dol.gov/agencies/whd/fmla,DOL_FMLA,US_FEDERAL_LABOR_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
employee benefit plan,employee benefit plan,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
Employee Retirement Income Security Act,employee retirement income security act,BENEFIT_CONCEPT,employee_benefits,Employee Benefits Security Administration — Retirement Responsibilities / ERISA,https://www.dol.gov/agencies/ebsa/employers-and-advisers/small-business-owners/understanding-your-responsibilities,EBSA,US_FEDERAL_EMPLOYEE_BENEFITS_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,True,finance_accounting_tax
employment discrimination,employment discrimination,EEO_CONCEPT,equal_employment_opportunity,U.S. Equal Employment Opportunity Commission — Employment Guidance,https://www.eeoc.gov/disability-discrimination-and-employment-decisions,EEOC,US_FEDERAL_EEO_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
equal employment opportunity,equal employment opportunity,EEO_CONCEPT,equal_employment_opportunity,U.S. Equal Employment Opportunity Commission — Employment Guidance,https://www.eeoc.gov/disability-discrimination-and-employment-decisions,EEOC,US_FEDERAL_EEO_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
equivalent position,equivalent position,LEAVE_CONCEPT,leave,"U.S. Department of Labor, Wage and Hour Division — FMLA",https://www.dol.gov/agencies/whd/fmla,DOL_FMLA,US_FEDERAL_LABOR_AUTHORITY,True,False,,LOW,,,,,A,US federal government source; short terminology/provenance only,2026-08-10,False,False,False,False,
