term,normalized_term,semantic_hint,source,source_url,source_family,derived_variant,collision_risk,notes
75th percentile,75th percentile,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
9/10-month salary contract/teaching period,9 10 month salary contract teaching period,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Ability Grouping Status,ability grouping status,ACADEMIC_CONCEPT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26000,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Institution; category=Institution Characteristics
Abroad,abroad,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,HIGH,Source-attested IPEDS glossary term.
Academic Award Date,academic award date,PROCESS_EVENT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26001,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Institution Enrollment->Prior Academic Award
Academic Award Level Conferred,academic award level conferred,PROCESS_EVENT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26002,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Institution Enrollment->Prior Academic Award
Academic Award Prerequisite Type,academic award prerequisite type,PROCESS_EVENT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27647,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Institution Enrollment->Prior Academic Award
Academic Award Requirements URL,academic award requirements url,PROCESS_EVENT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27646,NCES/CEDS,false,MEDIUM,Source-attested CEDS postsecondary element; entity=PS Student; category=Institution Enrollment->Prior Academic Award
Academic Award Title,academic award title,PROCESS_EVENT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26003,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Institution Enrollment->Prior Academic Award
Academic Calendar,academic calendar,ACADEMIC_CONCEPT,UT Austin Office of the Registrar Glossary of Catalog Terminology,https://registrar.utexas.edu/catalogs/glossary,Public institutional catalog/registrar glossary,false,LOW,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Academic Libraries,academic libraries,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,true,LOW,Derived mechanically from source-attested form “Academic Libraries (AL)” (parenthetical-label-stripped); not independently source-attested as a standalone term.
Academic Libraries (AL),academic libraries al,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,MEDIUM,Source-attested IPEDS glossary term.
Academic Library,academic library,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Academic program,academic program,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,MEDIUM,Source-attested IPEDS glossary term.
Academic Rank,academic rank,ACADEMIC_CONCEPT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26717,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Staff; category=Employment
Academic Rank,academic rank,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Academic support,academic support,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Academic Term Designator,academic term designator,ACADEMIC_CONCEPT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26703,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Term Enrollment
Academic Year,academic year,ACADEMIC_CONCEPT,Federal Student Aid Handbook Glossary,https://fsapartners.ed.gov/knowledge-center/fsa-handbook/glossary,Federal Student Aid glossary,false,LOW,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Academic year,academic year,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Academic Year Designator,academic year designator,ACADEMIC_CONCEPT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26702,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Term Enrollment
Accelerated programs,accelerated programs,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Accreditation Agency Name,accreditation agency name,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27500,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=Organization; category=Organization Accreditation
Accreditation Award Date,accreditation award date,PROCESS_EVENT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26840,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Institution; category=Accreditation
Accreditation Expiration Date,accreditation expiration date,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26841,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Institution; category=Accreditation
Accrediting agencies,accrediting agencies,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Accrediting bodies,accrediting bodies,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term. Related item: Accrediting agencies
Accumulated depreciation,accumulated depreciation,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
ACT,act,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,MEDIUM,Source-attested IPEDS glossary term.
Active Military Status Indicator,active military status indicator,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27556,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Military
Activity Description,activity description,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27505,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Academic Record->Activity
Activity Identifier,activity identifier,DOCUMENT_SYSTEM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26006,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Academic Record->Activity
Activity Involvement Begin Date,activity involvement begin date,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26007,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Academic Record->Activity
Activity Involvement End Date,activity involvement end date,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26008,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Academic Record->Activity
Activity Time Involved,activity time involved,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27502,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Academic Record->Activity
Activity Time Measurement Type,activity time measurement type,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27503,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Academic Record->Activity
Activity Title,activity title,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26009,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Academic Record->Activity
Additional Coursework,additional coursework,OTHER_DOMAIN_TERM,UT Austin Office of the Registrar Glossary of Catalog Terminology,https://registrar.utexas.edu/catalogs/glossary,Public institutional catalog/registrar glossary,false,LOW,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Additions to permanent endowments,additions to permanent endowments,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Additions to physical plant assets,additions to physical plant assets,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Address Apartment Room or Suite Number,address apartment room or suite number,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26019,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=Organization; category=Address
Address City,address city,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26040,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=Organization; category=Address
Address County Name,address county name,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26190,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=Organization; category=Address
Address Postal Code,address postal code,DOCUMENT_SYSTEM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26214,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=Organization; category=Address
Address Street Number and Name,address street number and name,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26269,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=Organization; category=Address
Address Type for Learner or Family,address type for learner or family,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26358,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Contact->Address
Address Type for Organization,address type for organization,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26644,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=Organization; category=Address
Address Type for Staff,address type for staff,ROLE,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26698,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Staff; category=Contact->Address
Adjunct instructional staff,adjunct instructional staff,ROLE,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Adjusted Capacity,adjusted capacity,ACADEMIC_CONCEPT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27972,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=Course Section
Adjusted Capacity Reason Type,adjusted capacity reason type,ACADEMIC_CONCEPT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27973,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=Course Section
Adjusted cohort,adjusted cohort,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Adjustments to beginning net assets,adjustments to beginning net assets,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Adjustments to beginning net position,adjustments to beginning net position,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
ADM,adm,PROCESS_EVENT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,true,MEDIUM,Derived mechanically from source-attested form “Admissions (ADM)” (parenthetical-code-extracted); not independently source-attested as a standalone term.
Administrative Funding Control,administrative funding control,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26012,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Institution; category=Directory
Administrative unit,administrative unit,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Admission Consideration Level,admission consideration level,PROCESS_EVENT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27558,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Institution; category=IPEDS Reporting
Admission Consideration Type,admission consideration type,PROCESS_EVENT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27559,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Institution; category=IPEDS Reporting
Admissions,admissions,PROCESS_EVENT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,true,HIGH,Derived mechanically from source-attested form “Admissions (ADM)” (parenthetical-label-stripped); not independently source-attested as a standalone term.
Admissions (ADM),admissions adm,PROCESS_EVENT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,MEDIUM,Source-attested IPEDS glossary term.
Admissions test scores,admissions test scores,PROCESS_EVENT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Admitted Student,admitted student,ROLE,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26736,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Applicant
Admitted students,admitted students,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Adult basic education,adult basic education,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Adult Education Certification Type,adult education certification type,PROCESS_EVENT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26775,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Staff; category=Certification
Advanced placement (AP) courses,advanced placement ap courses,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,MEDIUM,Source-attested IPEDS glossary term.
Advanced Placement Course Code,advanced placement course code,DOCUMENT_SYSTEM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27244,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=Course Section
Advanced Placement Credits Awarded,advanced placement credits awarded,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26018,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Academic Record
Advanced Registration,advanced registration,PROCESS_EVENT,National Student Clearinghouse Compliance Central Glossary,https://help.studentclearinghouse.org/compliancecentral/knowledge-base/glossary/,Sector enrollment reporting glossary,false,LOW,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Affiliated organizations,affiliated organizations,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Affiliation Agreement,affiliation agreement,DOCUMENT_SYSTEM,UT Austin Office of the Registrar Glossary of Catalog Terminology,https://registrar.utexas.edu/catalogs/glossary,Public institutional catalog/registrar glossary,false,LOW,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Agency Course Identifier,agency course identifier,DOCUMENT_SYSTEM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=27246,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=Course Section; category=Course
AICPA,aicpa,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,MEDIUM,Source-attested IPEDS glossary term.
AICPA College and University Audit Guide Model,aicpa college and university audit guide model,ORGANIZATION,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,MEDIUM,Source-attested IPEDS glossary term.
Aid received,aid received,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,MEDIUM,Source-attested IPEDS glossary term.
AL,al,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,true,MEDIUM,Derived mechanically from source-attested form “Academic Libraries (AL)” (parenthetical-code-extracted); not independently source-attested as a standalone term.
All other sports combined,all other sports combined,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Allowable costs,allowable costs,ACADEMIC_CONCEPT,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,"Source-attested IPEDS glossary term. Related item: Cost of attendance (COA) [for IPEDS reporting purposes],Average cost of attendance,Total cost of attendance"
Allowances,allowances,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,HIGH,Source-attested IPEDS glossary term.
Alternative Route to Certification or Licensure,alternative route to certification or licensure,PROCESS_EVENT,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26751,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Teacher Education/Preparation
American Indian or Alaska Native,american indian or alaska native,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26655,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Student; category=Demographic
American Indian or Alaska Native,american indian or alaska native,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
American Indian or Alaska Native (old definition),american indian or alaska native old definition,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Annual Base Contractual Salary,annual base contractual salary,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26722,NCES/CEDS,false,LOW,Source-attested CEDS postsecondary element; entity=PS Staff; category=Employment
Annual contract or employment agreement,annual contract or employment agreement,DOCUMENT_SYSTEM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Annuity and life income funds,annuity and life income funds,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
ANP,anp,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,true,MEDIUM,Derived mechanically from source-attested form “Average Net price (ANP)” (parenthetical-code-extracted); not independently source-attested as a standalone term.
Applicant,applicant,ROLE,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,HIGH,Source-attested IPEDS glossary term.
Application Date,application date,DOCUMENT_SYSTEM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26323,NCES/CEDS,false,MEDIUM,Source-attested CEDS postsecondary element; entity=PS Applicant
Application fee,application fee,DOCUMENT_SYSTEM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,MEDIUM,Source-attested IPEDS glossary term.
Approved List of Courses,approved list of courses,OTHER_DOMAIN_TERM,UT Austin Office of the Registrar Glossary of Catalog Terminology,https://registrar.utexas.edu/catalogs/glossary,Public institutional catalog/registrar glossary,false,LOW,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
"Archivists, Curators, and Museum Technicians",archivists curators and museum technicians,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,LOW,Source-attested IPEDS glossary term.
Area of Study,area of study,OTHER_DOMAIN_TERM,UT Austin Office of the Registrar Glossary of Catalog Terminology,https://registrar.utexas.edu/catalogs/glossary,Public institutional catalog/registrar glossary,false,LOW,Source-attested term; included to strengthen operational coverage outside the federal IPEDS/CEDS backbone.
Asian,asian,OTHER_DOMAIN_TERM,Common Education Data Standards (CEDS) Version 13 — Postsecondary domain,https://ceds.ed.gov/cedselementdetails.aspx?termid=26656,NCES/CEDS,false,HIGH,Source-attested CEDS postsecondary element; entity=PS Student; category=Demographic
Asian,asian,OTHER_DOMAIN_TERM,IPEDS Glossary 2025-26,https://surveys.nces.ed.gov/ipeds/api/downloads/IPEDSGlossary.csv,NCES/IPEDS,false,HIGH,Source-attested IPEDS glossary term.
