term,normalized_term,semantic_hint,source_domain,source_name,source_url,source_family,source_authority_level,source_attested,derived_variant,parent_term,collision_risk,notes,source_id,acronym,acronym_expansion
accounts and definitions,accounts and definitions,ACCOUNTING_CONCEPT,ACCOUNTING,U.S. Standard General Ledger (USSGL),https://fiscal.treasury.gov/accounting/us-standard-general-ledger-ussgl,TREASURY_USSGL,US_FEDERAL_ACCOUNTING_STANDARD,True,False,,LOW,,,,
accounts payable,accounts payable,ACCOUNTING_CONCEPT,ACCOUNTING,SEC Beginners' Guide to Financial Statements,https://www.sec.gov/about/reports-publications/investorpubsbegfinstmtguide,SEC,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,LOW,,,,
accounts receivable,accounts receivable,ACCOUNTING_CONCEPT,ACCOUNTING,SEC Beginners' Guide to Financial Statements,https://www.sec.gov/about/reports-publications/investorpubsbegfinstmtguide,SEC,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,LOW,,,,
"accounts receivable, net","accounts receivable, net",ACCOUNTING_CONCEPT,ACCOUNTING,U.S. Standard General Ledger (USSGL),https://fiscal.treasury.gov/accounting/us-standard-general-ledger-ussgl,TREASURY_USSGL,US_FEDERAL_ACCOUNTING_STANDARD,True,False,,LOW,,,,
accredited investor,accredited investor,REGULATORY_TERM,FINANCE,SEC Investor.gov Glossary,https://www.investor.gov/introduction-investing/investing-basics/glossary,SEC_INVESTOR_GOV,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,LOW,,,,
accrual accounting,accrual accounting,ACCOUNTING_CONCEPT,ACCOUNTING,U.S. Standard General Ledger (USSGL),https://fiscal.treasury.gov/accounting/us-standard-general-ledger-ussgl,TREASURY_USSGL,US_FEDERAL_ACCOUNTING_STANDARD,True,False,,LOW,,,,
accumulated amortization,accumulated amortization,ACCOUNTING_CONCEPT,ACCOUNTING,U.S. Standard General Ledger (USSGL),https://fiscal.treasury.gov/accounting/us-standard-general-ledger-ussgl,TREASURY_USSGL,US_FEDERAL_ACCOUNTING_STANDARD,True,False,,LOW,,,,
Accumulated Amortization on Leasehold Improvements,accumulated amortization on leasehold improvements,ACCOUNT_TYPE,ACCOUNTING,U.S. Standard General Ledger (USSGL),https://fiscal.treasury.gov/accounting/us-standard-general-ledger-ussgl,TREASURY_USSGL,US_FEDERAL_ACCOUNTING_STANDARD,True,False,,LOW,,182900,,
accumulated depreciation,accumulated depreciation,ACCOUNTING_CONCEPT,ACCOUNTING,U.S. Standard General Ledger (USSGL),https://fiscal.treasury.gov/accounting/us-standard-general-ledger-ussgl,TREASURY_USSGL,US_FEDERAL_ACCOUNTING_STANDARD,True,False,,LOW,,,,
"Accumulated Depreciation on Buildings, Improvements, and Renovations","accumulated depreciation on buildings, improvements, and renovations",ACCOUNT_TYPE,ACCOUNTING,U.S. Standard General Ledger (USSGL),https://fiscal.treasury.gov/accounting/us-standard-general-ledger-ussgl,TREASURY_USSGL,US_FEDERAL_ACCOUNTING_STANDARD,True,False,,LOW,,173900,,
Accumulated Depreciation on Equipment,accumulated depreciation on equipment,ACCOUNT_TYPE,ACCOUNTING,U.S. Standard General Ledger (USSGL),https://fiscal.treasury.gov/accounting/us-standard-general-ledger-ussgl,TREASURY_USSGL,US_FEDERAL_ACCOUNTING_STANDARD,True,False,,LOW,,175900,,
"Accumulated Depreciation on Other General Property, Plant, and Equipment","accumulated depreciation on other general property, plant, and equipment",ACCOUNT_TYPE,ACCOUNTING,U.S. Standard General Ledger (USSGL),https://fiscal.treasury.gov/accounting/us-standard-general-ledger-ussgl,TREASURY_USSGL,US_FEDERAL_ACCOUNTING_STANDARD,True,False,,MEDIUM,,189900,,
ACH,ach,PROCESS_EVENT,FINANCE,Federal Reserve Acronym Glossary,https://www.federalreserve.gov/regreform/acronym.htm,FEDERAL_RESERVE,US_CENTRAL_BANK_REGULATOR,True,False,,HIGH,,,ACH,Automated Clearing House
adjustable rate mortgage,adjustable rate mortgage,FINANCIAL_INSTRUMENT,FINANCE,CFPB Mortgages Key Terms,https://www.consumerfinance.gov/consumer-tools/mortgages/answers/key-terms/,CFPB,US_FEDERAL_CONSUMER_FINANCE_AUTHORITY,False,True,adjustable-rate mortgage,LOW,Conservative deterministic punctuation/hyphenation variant of source-attested parent term.,,,
adjustable-rate mortgage,adjustable-rate mortgage,FINANCIAL_INSTRUMENT,FINANCE,CFPB Mortgages Key Terms,https://www.consumerfinance.gov/consumer-tools/mortgages/answers/key-terms/,CFPB,US_FEDERAL_CONSUMER_FINANCE_AUTHORITY,True,False,,LOW,,,,
adjusted basis,adjusted basis,TAX_CONCEPT,TAX,IRS Publication 551 – Basis of Assets,https://www.irs.gov/publications/p551,IRS,US_FEDERAL_TAX_AUTHORITY,True,False,,LOW,,,,
adjusted gross income,adjusted gross income,TAX_CONCEPT,TAX,IRS Understanding Taxes – Glossary,https://apps.irs.gov/app/understandingTaxes/student/glossary.jsp,IRS,US_FEDERAL_TAX_AUTHORITY,True,False,,MEDIUM,,,,
ADR,adr,FINANCIAL_INSTRUMENT,FINANCE,SEC Investor.gov Glossary,https://www.investor.gov/introduction-investing/investing-basics/glossary,SEC_INVESTOR_GOV,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,HIGH,,,ADR,American Depositary Receipt
aggregation,aggregation,PROCESS_EVENT,FINANCE,CFTC Futures Glossary,https://www.cftc.gov/LearnAndProtect/AdvisoriesAndArticles/CFTCGlossary/index.htm,CFTC,US_FEDERAL_DERIVATIVES_AUTHORITY,True,False,,LOW,,,,
allowance,allowance,ACCOUNTING_CONCEPT,ACCOUNTING,U.S. Standard General Ledger (USSGL),https://fiscal.treasury.gov/accounting/us-standard-general-ledger-ussgl,TREASURY_USSGL,US_FEDERAL_ACCOUNTING_STANDARD,True,False,,HIGH,Collision note: ordinary-English/name/legal/geographic collision potential.,,,
Allowance for Depletion,allowance for depletion,ACCOUNT_TYPE,ACCOUNTING,U.S. Standard General Ledger (USSGL),https://fiscal.treasury.gov/accounting/us-standard-general-ledger-ussgl,TREASURY_USSGL,US_FEDERAL_ACCOUNTING_STANDARD,True,False,,LOW,,184900,,
American Depositary Receipt,american depositary receipt,FINANCIAL_INSTRUMENT,FINANCE,SEC Investor.gov Glossary,https://www.investor.gov/introduction-investing/investing-basics/glossary,SEC_INVESTOR_GOV,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,LOW,,,,
amortization,amortization,TAX_CONCEPT,TAX,IRS Publication 551 – Basis of Assets,https://www.irs.gov/publications/p551,IRS,US_FEDERAL_TAX_AUTHORITY,True,False,,LOW,,,,
amount due,amount due,TAX_CONCEPT,TAX,IRS Understanding Taxes – Glossary,https://apps.irs.gov/app/understandingTaxes/student/glossary.jsp,IRS,US_FEDERAL_TAX_AUTHORITY,True,False,,LOW,,,,
amount realized,amount realized,TAX_CONCEPT,TAX,IRS Publication 551 – Basis of Assets,https://www.irs.gov/publications/p551,IRS,US_FEDERAL_TAX_AUTHORITY,True,False,,LOW,,,,
annual meeting,annual meeting,PROCESS_EVENT,FINANCE,SEC Investor.gov Glossary,https://www.investor.gov/introduction-investing/investing-basics/glossary,SEC_INVESTOR_GOV,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,LOW,,,,
annual percentage rate,annual percentage rate,FINANCIAL_CONCEPT,FINANCE,CFPB Financial Terms Glossary,https://www.consumerfinance.gov/consumer-tools/educator-tools/youth-financial-education/glossary/,CFPB,US_FEDERAL_CONSUMER_FINANCE_AUTHORITY,True,False,,LOW,,,,
annual percentage yield,annual percentage yield,FINANCIAL_CONCEPT,FINANCE,CFPB Financial Terms Glossary,https://www.consumerfinance.gov/consumer-tools/educator-tools/youth-financial-education/glossary/,CFPB,US_FEDERAL_CONSUMER_FINANCE_AUTHORITY,True,False,,LOW,,,,
annual report,annual report,DOCUMENT,ACCOUNTING,SEC Beginners' Guide to Financial Statements,https://www.sec.gov/about/reports-publications/investorpubsbegfinstmtguide,SEC,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,MEDIUM,,,,
annual report,annual report,DOCUMENT,FINANCE,SEC Forms Index / EDGAR Filing Forms,https://www.sec.gov/submit-filings/forms-index,SEC,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,MEDIUM,,,,
annual report,annual report,DOCUMENT,FINANCE,SEC Investor.gov Glossary,https://www.investor.gov/introduction-investing/investing-basics/glossary,SEC_INVESTOR_GOV,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,MEDIUM,,,,
Annual Report (10-K),annual report (10-k),DOCUMENT,FINANCE,SEC Investor.gov Glossary,https://www.investor.gov/introduction-investing/investing-basics/glossary,SEC_INVESTOR_GOV,US_FEDERAL_SECURITIES_AUTHORITY,False,True,Annual Report (10K),MEDIUM,Conservative deterministic punctuation/hyphenation variant of source-attested parent term.,,,
Annual Report (10K),annual report (10k),DOCUMENT,FINANCE,SEC Investor.gov Glossary,https://www.investor.gov/introduction-investing/investing-basics/glossary,SEC_INVESTOR_GOV,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,MEDIUM,,,,
annual return,annual return,FINANCIAL_CONCEPT,FINANCE,SEC Investor.gov Glossary,https://www.investor.gov/introduction-investing/investing-basics/glossary,SEC_INVESTOR_GOV,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,MEDIUM,,,,
annuity,annuity,FINANCIAL_INSTRUMENT,FINANCE,SEC Investor.gov Glossary,https://www.investor.gov/introduction-investing/investing-basics/glossary,SEC_INVESTOR_GOV,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,HIGH,,,,
anonymous bidding,anonymous bidding,PROCESS_EVENT,FINANCE,CFTC Futures Glossary,https://www.cftc.gov/LearnAndProtect/AdvisoriesAndArticles/CFTCGlossary/index.htm,CFTC,US_FEDERAL_DERIVATIVES_AUTHORITY,True,False,,LOW,,,,
appeal,appeal,PROCESS_EVENT,TAX,IRS Understanding Taxes – Glossary,https://apps.irs.gov/app/understandingTaxes/student/glossary.jsp,IRS,US_FEDERAL_TAX_AUTHORITY,True,False,,HIGH,Collision note: ordinary-English/name/legal/geographic collision potential; cross-domain legal/document terminology overlap.,,,
appropriation,appropriation,ACCOUNTING_CONCEPT,ACCOUNTING,U.S. Standard General Ledger (USSGL),https://fiscal.treasury.gov/accounting/us-standard-general-ledger-ussgl,TREASURY_USSGL,US_FEDERAL_ACCOUNTING_STANDARD,True,False,,LOW,,,,
appropriations used,appropriations used,ACCOUNTING_CONCEPT,ACCOUNTING,U.S. Standard General Ledger (USSGL),https://fiscal.treasury.gov/accounting/us-standard-general-ledger-ussgl,TREASURY_USSGL,US_FEDERAL_ACCOUNTING_STANDARD,True,False,,LOW,,,,
APR,apr,FINANCIAL_CONCEPT,FINANCE,CFPB Financial Terms Glossary,https://www.consumerfinance.gov/consumer-tools/educator-tools/youth-financial-education/glossary/,CFPB,US_FEDERAL_CONSUMER_FINANCE_AUTHORITY,True,False,,HIGH,,,APR,annual percentage rate
APY,apy,FINANCIAL_CONCEPT,FINANCE,CFPB Financial Terms Glossary,https://www.consumerfinance.gov/consumer-tools/educator-tools/youth-financial-education/glossary/,CFPB,US_FEDERAL_CONSUMER_FINANCE_AUTHORITY,True,False,,HIGH,,,APY,annual percentage yield
arbitrage,arbitrage,FINANCIAL_CONCEPT,FINANCE,CFTC Futures Glossary,https://www.cftc.gov/LearnAndProtect/AdvisoriesAndArticles/CFTCGlossary/index.htm,CFTC,US_FEDERAL_DERIVATIVES_AUTHORITY,True,False,,LOW,,,,
arbitration,arbitration,PROCESS_EVENT,FINANCE,SEC Investor.gov Glossary,https://www.investor.gov/introduction-investing/investing-basics/glossary,SEC_INVESTOR_GOV,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,LOW,,,,
assessment,assessment,PROCESS_EVENT,TAX,IRS Understanding Taxes – Glossary,https://apps.irs.gov/app/understandingTaxes/student/glossary.jsp,IRS,US_FEDERAL_TAX_AUTHORITY,True,False,,LOW,,,,
asset,asset,FINANCIAL_CONCEPT,FINANCE,SEC Investor.gov Glossary,https://www.investor.gov/introduction-investing/investing-basics/glossary,SEC_INVESTOR_GOV,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,HIGH,Collision note: ordinary-English/name/legal/geographic collision potential.,,,
asset allocation,asset allocation,FINANCIAL_CONCEPT,FINANCE,SEC Investor.gov Glossary,https://www.investor.gov/introduction-investing/investing-basics/glossary,SEC_INVESTOR_GOV,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,LOW,,,,
asset classes,asset classes,FINANCIAL_CONCEPT,FINANCE,SEC Investor.gov Glossary,https://www.investor.gov/introduction-investing/investing-basics/glossary,SEC_INVESTOR_GOV,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,LOW,,,,
Asset-Backed Securities,asset-backed securities,FINANCIAL_INSTRUMENT,FINANCE,Federal Reserve Acronym Glossary,https://www.federalreserve.gov/regreform/acronym.htm,FEDERAL_RESERVE,US_CENTRAL_BANK_REGULATOR,True,False,,LOW,,,ABS,Asset-Backed Securities
assets,assets,ACCOUNTING_CONCEPT,ACCOUNTING,SEC Beginners' Guide to Financial Statements,https://www.sec.gov/about/reports-publications/investorpubsbegfinstmtguide,SEC,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,HIGH,,,,
audit,audit,PROCESS_EVENT,ACCOUNTING,SEC Beginners' Guide to Financial Statements,https://www.sec.gov/about/reports-publications/investorpubsbegfinstmtguide,SEC,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,HIGH,Collision note: ordinary-English/name/legal/geographic collision potential.,,,
Authorized IRS e-file Provider,authorized irs e-file provider,ROLE,TAX,IRS Understanding Taxes – Glossary,https://apps.irs.gov/app/understandingTaxes/student/glossary.jsp,IRS,US_FEDERAL_TAX_AUTHORITY,True,False,,LOW,,,,
authorized participant,authorized participant,ROLE,FINANCE,SEC Investor.gov Glossary,https://www.investor.gov/introduction-investing/investing-basics/glossary,SEC_INVESTOR_GOV,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,LOW,,,,
auto loan,auto loan,FINANCIAL_INSTRUMENT,FINANCE,CFPB Financial Terms Glossary,https://www.consumerfinance.gov/consumer-tools/educator-tools/youth-financial-education/glossary/,CFPB,US_FEDERAL_CONSUMER_FINANCE_AUTHORITY,True,False,,LOW,,,,
Automated Clearing House,automated clearing house,PROCESS_EVENT,FINANCE,Federal Reserve Acronym Glossary,https://www.federalreserve.gov/regreform/acronym.htm,FEDERAL_RESERVE,US_CENTRAL_BANK_REGULATOR,True,False,,LOW,,,ACH,Automated Clearing House
automatic payment,automatic payment,PROCESS_EVENT,FINANCE,CFPB Financial Terms Glossary,https://www.consumerfinance.gov/consumer-tools/educator-tools/youth-financial-education/glossary/,CFPB,US_FEDERAL_CONSUMER_FINANCE_AUTHORITY,True,False,,LOW,,,,
backwardation,backwardation,FINANCIAL_CONCEPT,FINANCE,CFTC Futures Glossary,https://www.cftc.gov/LearnAndProtect/AdvisoriesAndArticles/CFTCGlossary/index.htm,CFTC,US_FEDERAL_DERIVATIVES_AUTHORITY,True,False,,LOW,,,,
balance,balance,FINANCIAL_CONCEPT,FINANCE,CFPB Financial Terms Glossary,https://www.consumerfinance.gov/consumer-tools/educator-tools/youth-financial-education/glossary/,CFPB,US_FEDERAL_CONSUMER_FINANCE_AUTHORITY,True,False,,HIGH,Collision note: ordinary-English/name/legal/geographic collision potential.,,,
balance sheet,balance sheet,DOCUMENT,ACCOUNTING,SEC Beginners' Guide to Financial Statements,https://www.sec.gov/about/reports-publications/investorpubsbegfinstmtguide,SEC,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,LOW,,,,
balanced fund,balanced fund,FINANCIAL_INSTRUMENT,FINANCE,SEC Investor.gov Glossary,https://www.investor.gov/introduction-investing/investing-basics/glossary,SEC_INVESTOR_GOV,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,MEDIUM,,,,
bank account,bank account,ACCOUNT_TYPE,FINANCE,CFPB Financial Terms Glossary,https://www.consumerfinance.gov/consumer-tools/educator-tools/youth-financial-education/glossary/,CFPB,US_FEDERAL_CONSUMER_FINANCE_AUTHORITY,True,False,,MEDIUM,,,,
bank charter,bank charter,REGULATORY_TERM,FINANCE,FDIC BankFind Glossary & Variable Definitions,https://banks.data.fdic.gov/bankfind-suite/help?helpTopic=glossary-and-variable-definitions,FDIC,US_FEDERAL_BANKING_AUTHORITY,True,False,,MEDIUM,,,,
Bank Holding Company,bank holding company,ORGANIZATION,FINANCE,Federal Reserve Acronym Glossary,https://www.federalreserve.gov/regreform/acronym.htm,FEDERAL_RESERVE,US_CENTRAL_BANK_REGULATOR,True,False,,MEDIUM,,,BHC,Bank Holding Company
bankruptcy,bankruptcy,FINANCIAL_CONCEPT,FINANCE,SEC Investor.gov Glossary,https://www.investor.gov/introduction-investing/investing-basics/glossary,SEC_INVESTOR_GOV,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,LOW,,,,
basis,basis,FINANCIAL_CONCEPT,FINANCE,CFTC Futures Glossary,https://www.cftc.gov/LearnAndProtect/AdvisoriesAndArticles/CFTCGlossary/index.htm,CFTC,US_FEDERAL_DERIVATIVES_AUTHORITY,True,False,,HIGH,Collision note: ordinary-English/name/legal/geographic collision potential.,,,
basis,basis,TAX_CONCEPT,TAX,IRS Publication 551 – Basis of Assets,https://www.irs.gov/publications/p551,IRS,US_FEDERAL_TAX_AUTHORITY,True,False,,HIGH,Collision note: ordinary-English/name/legal/geographic collision potential.,,,
basis of assets,basis of assets,TAX_CONCEPT,TAX,IRS Publication 551 – Basis of Assets,https://www.irs.gov/publications/p551,IRS,US_FEDERAL_TAX_AUTHORITY,True,False,,LOW,,,,
basis point,basis point,FINANCIAL_CONCEPT,FINANCE,CFTC Futures Glossary,https://www.cftc.gov/LearnAndProtect/AdvisoriesAndArticles/CFTCGlossary/index.htm,CFTC,US_FEDERAL_DERIVATIVES_AUTHORITY,True,False,,LOW,,,,
basis quote,basis quote,FINANCIAL_CONCEPT,FINANCE,CFTC Futures Glossary,https://www.cftc.gov/LearnAndProtect/AdvisoriesAndArticles/CFTCGlossary/index.htm,CFTC,US_FEDERAL_DERIVATIVES_AUTHORITY,True,False,,LOW,,,,
basis risk,basis risk,FINANCIAL_CONCEPT,FINANCE,CFTC Futures Glossary,https://www.cftc.gov/LearnAndProtect/AdvisoriesAndArticles/CFTCGlossary/index.htm,CFTC,US_FEDERAL_DERIVATIVES_AUTHORITY,True,False,,LOW,,,,
basis swap,basis swap,FINANCIAL_INSTRUMENT,FINANCE,CFTC Futures Glossary,https://www.cftc.gov/LearnAndProtect/AdvisoriesAndArticles/CFTCGlossary/index.htm,CFTC,US_FEDERAL_DERIVATIVES_AUTHORITY,True,False,,LOW,,,,
beneficial owner,beneficial owner,REGULATORY_TERM,FINANCE,SEC Investor.gov Glossary,https://www.investor.gov/introduction-investing/investing-basics/glossary,SEC_INVESTOR_GOV,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,MEDIUM,,,,
beneficiary,beneficiary,ROLE,FINANCE,CFPB Financial Terms Glossary,https://www.consumerfinance.gov/consumer-tools/educator-tools/youth-financial-education/glossary/,CFPB,US_FEDERAL_CONSUMER_FINANCE_AUTHORITY,True,False,,HIGH,Collision note: ordinary-English/name/legal/geographic collision potential; cross-domain legal/document terminology overlap.,,,
beneficiary,beneficiary,FINANCIAL_CONCEPT,FINANCE,FDIC EDIE Glossary,https://edie.fdic.gov/glossary.html,FDIC,US_FEDERAL_BANKING_AUTHORITY,True,False,,HIGH,Collision note: ordinary-English/name/legal/geographic collision potential; cross-domain legal/document terminology overlap.,,,
benefits received,benefits received,TAX_CONCEPT,TAX,IRS Understanding Taxes – Glossary,https://apps.irs.gov/app/understandingTaxes/student/glossary.jsp,IRS,US_FEDERAL_TAX_AUTHORITY,True,False,,LOW,,,,
BHC,bhc,ORGANIZATION,FINANCE,Federal Reserve Acronym Glossary,https://www.federalreserve.gov/regreform/acronym.htm,FEDERAL_RESERVE,US_CENTRAL_BANK_REGULATOR,True,False,,HIGH,,,BHC,Bank Holding Company
bi-weekly payment,bi-weekly payment,PROCESS_EVENT,FINANCE,CFPB Mortgages Key Terms,https://www.consumerfinance.gov/consumer-tools/mortgages/answers/key-terms/,CFPB,US_FEDERAL_CONSUMER_FINANCE_AUTHORITY,True,False,,LOW,,,,
bill payment,bill payment,PROCESS_EVENT,FINANCE,CFPB Financial Terms Glossary,https://www.consumerfinance.gov/consumer-tools/educator-tools/youth-financial-education/glossary/,CFPB,US_FEDERAL_CONSUMER_FINANCE_AUTHORITY,True,False,,LOW,,,,
binary option,binary option,FINANCIAL_INSTRUMENT,FINANCE,CFTC Futures Glossary,https://www.cftc.gov/LearnAndProtect/AdvisoriesAndArticles/CFTCGlossary/index.htm,CFTC,US_FEDERAL_DERIVATIVES_AUTHORITY,True,False,,LOW,,,,
board of trade,board of trade,ORGANIZATION,FINANCE,CFTC Futures Glossary,https://www.cftc.gov/LearnAndProtect/AdvisoriesAndArticles/CFTCGlossary/index.htm,CFTC,US_FEDERAL_DERIVATIVES_AUTHORITY,True,False,,LOW,,,,
bond,bond,FINANCIAL_INSTRUMENT,FINANCE,CFPB Financial Terms Glossary,https://www.consumerfinance.gov/consumer-tools/educator-tools/youth-financial-education/glossary/,CFPB,US_FEDERAL_CONSUMER_FINANCE_AUTHORITY,True,False,,HIGH,Collision note: ordinary-English/name/legal/geographic collision potential.,,,
bond,bond,FINANCIAL_INSTRUMENT,FINANCE,SEC Investor.gov Glossary,https://www.investor.gov/introduction-investing/investing-basics/glossary,SEC_INVESTOR_GOV,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,HIGH,Collision note: ordinary-English/name/legal/geographic collision potential.,,,
bonus,bonus,FINANCIAL_CONCEPT,TAX,IRS Understanding Taxes – Glossary,https://apps.irs.gov/app/understandingTaxes/student/glossary.jsp,IRS,US_FEDERAL_TAX_AUTHORITY,True,False,,HIGH,Collision note: ordinary-English/name/legal/geographic collision potential.,,,
borrower,borrower,ROLE,FINANCE,CFPB Financial Terms Glossary,https://www.consumerfinance.gov/consumer-tools/educator-tools/youth-financial-education/glossary/,CFPB,US_FEDERAL_CONSUMER_FINANCE_AUTHORITY,True,False,,HIGH,,,,
broker,broker,ROLE,FINANCE,SEC Investor.gov Glossary,https://www.investor.gov/introduction-investing/investing-basics/glossary,SEC_INVESTOR_GOV,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,HIGH,Collision note: ordinary-English/name/legal/geographic collision potential.,,,
broker-dealer,broker-dealer,ROLE,FINANCE,SEC Investor.gov Glossary,https://www.investor.gov/introduction-investing/investing-basics/glossary,SEC_INVESTOR_GOV,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,LOW,,,,
brokerage account,brokerage account,ACCOUNT_TYPE,FINANCE,SEC Investor.gov Glossary,https://www.investor.gov/introduction-investing/investing-basics/glossary,SEC_INVESTOR_GOV,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,MEDIUM,,,,
budget,budget,FINANCIAL_CONCEPT,FINANCE,CFPB Financial Terms Glossary,https://www.consumerfinance.gov/consumer-tools/educator-tools/youth-financial-education/glossary/,CFPB,US_FEDERAL_CONSUMER_FINANCE_AUTHORITY,True,False,,HIGH,,,,
budget deficit,budget deficit,ACCOUNTING_CONCEPT,ACCOUNTING,U.S. Standard General Ledger (USSGL),https://fiscal.treasury.gov/accounting/us-standard-general-ledger-ussgl,TREASURY_USSGL,US_FEDERAL_ACCOUNTING_STANDARD,True,False,,LOW,,,,
budgetary accounting,budgetary accounting,ACCOUNTING_CONCEPT,ACCOUNTING,U.S. Standard General Ledger (USSGL),https://fiscal.treasury.gov/accounting/us-standard-general-ledger-ussgl,TREASURY_USSGL,US_FEDERAL_ACCOUNTING_STANDARD,True,False,,LOW,,,,
budgetary accounts,budgetary accounts,ACCOUNTING_CONCEPT,ACCOUNTING,U.S. Standard General Ledger (USSGL),https://fiscal.treasury.gov/accounting/us-standard-general-ledger-ussgl,TREASURY_USSGL,US_FEDERAL_ACCOUNTING_STANDARD,True,False,,LOW,,,,
calendar spread,calendar spread,FINANCIAL_CONCEPT,FINANCE,CFTC Futures Glossary,https://www.cftc.gov/LearnAndProtect/AdvisoriesAndArticles/CFTCGlossary/index.htm,CFTC,US_FEDERAL_DERIVATIVES_AUTHORITY,True,False,,LOW,,,,
call option,call option,FINANCIAL_INSTRUMENT,FINANCE,CFTC Futures Glossary,https://www.cftc.gov/LearnAndProtect/AdvisoriesAndArticles/CFTCGlossary/index.htm,CFTC,US_FEDERAL_DERIVATIVES_AUTHORITY,True,False,,LOW,,,,
call option,call option,FINANCIAL_INSTRUMENT,FINANCE,SEC Investor.gov Glossary,https://www.investor.gov/introduction-investing/investing-basics/glossary,SEC_INVESTOR_GOV,US_FEDERAL_SECURITIES_AUTHORITY,True,False,,LOW,,,,
capital,capital,FINANCIAL_CONCEPT,FINANCE,Federal Reserve Regulatory Reform Glossary,https://www.federalreserve.gov/regreform/reform-glossary.htm,FEDERAL_RESERVE,US_CENTRAL_BANK_REGULATOR,True,False,,HIGH,Collision note: ordinary-English/name/legal/geographic collision potential.,,,
